gemeente;soort;jaar;verkiezing;"verkiezing-
partij";p;partij;w;sb;stemmen;opmerking
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;0;1;135;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;0;1;268;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;0;1;128;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;0;1;57;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;0;1;135;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;0;1;133;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;0;1;29;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;0;1;44;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;0;1;20;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;0;2;126;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;0;2;255;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;0;2;176;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;0;2;39;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;0;2;159;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;0;2;59;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;0;2;37;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;0;2;27;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;0;2;29;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;0;3;135;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;0;3;212;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;0;3;180;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;0;3;58;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;0;3;139;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;0;3;103;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;0;3;27;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;0;3;28;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;0;3;30;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;0;4;105;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;0;4;176;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;0;4;186;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;0;4;85;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;0;4;119;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;0;4;64;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;0;4;16;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;0;4;24;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;0;4;25;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;5;144;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;5;82;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;5;157;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;5;90;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;5;84;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;5;53;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;5;28;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;5;38;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;5;14;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;6;164;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;6;160;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;6;171;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;6;60;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;6;156;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;6;68;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;6;35;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;6;56;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;6;34;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;7;119;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;7;190;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;7;162;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;7;63;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;7;170;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;7;98;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;7;15;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;7;25;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;7;35;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;8;126;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;8;169;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;8;191;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;8;66;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;8;152;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;8;62;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;8;26;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;8;34;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;8;31;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;9;184;
Leiden;GR;2002;GR2002;GR2002-2;2;VVD;1;9;163;
Leiden;GR;2002;GR2002;GR2002-3;3;GL;1;9;172;
Leiden;GR;2002;GR2002;GR2002-4;4;SP;1;9;60;
Leiden;GR;2002;GR2002;GR2002-5;5;D66;1;9;145;
Leiden;GR;2002;GR2002;GR2002-6;6;CDA;1;9;63;
Leiden;GR;2002;GR2002;GR2002-7;7;LWG / dG;1;9;44;
Leiden;GR;2002;GR2002;GR2002-8;8;LL;1;9;64;
Leiden;GR;2002;GR2002;GR2002-9;9;CU;1;9;34;
Leiden;GR;2002;GR2002;GR2002-1;1;PvdA;1;10;160;
